"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-08-22","80","51.3","80.4","3.3","0.795","57.7","93"
"2014-08-23","142","106.5","137","5","1.095","55.5","251"
"2014-08-24","47","16.8","37.9","4.2","0.438","27.4","110"
"2014-08-25","45","16.4","42","3.8","0.445","36.2","116"
"2014-08-26","61","22.8","65.9","5.5","0.523","55.7","160"
"2014-08-27","91","47.3","106.7","7.6","0.703","59.1","219"
"2014-08-28","104","77.4","118.7","7.1","0.913","53.6","150"
"2014-08-29","99","73.6","82.2","4","0.978","34.7","171"
"2014-08-30","171","128.8","147.6","4.4","1.53","58.2","77"
"2014-08-31","87","64","49.1","2.2","0.985","29.6","157"
"2014-09-01","126","94.9","83.4","3.1","1.592","45.1","119"
"2014-09-02","36","20.1","15.4","2","0.842","31.2","74"
"2014-09-03","36","14.9","34.8","5.2","0.551","37.6","140"
"2014-09-04","76","39.5","90.6","5.2","0.824","61","189"
"2014-09-05","121","86.2","137.6","8.6","1.029","51.3","229"
"2014-09-06","184","138.3","160.7","11.7","1.402","38.9","219"
"2014-09-07","196","150.5","182.2","9.8","1.262","43.9","191"
"2014-09-08","47","13.5","30","3.7","0.344","24","110"
"2014-09-09","74","35.8","82.6","5.4","0.643","48.7","204"
"2014-09-10","97","63.4","111","11","1.077","56.7","185"
"2014-09-11","110","82.3","123.5","15.6","1.423","63.8","133"
"2014-09-12","98","72.9","53.8","3.7","0.963","50.7","91"
"2014-09-13","93","67.2","96.2","7.1","0.802","49.3","166"
"2014-09-14","69","41.8","76.6","3.3","0.54","47.5","76"
"2014-09-15","45","17.9","47.9","5","0.401","36.4","100"
"2014-09-16","71","38.1","90.9","4.9","0.594","66.3","45"
"2014-09-17","75","50.7","88.4","3.9","0.708","61.4","78"
"2014-09-18","89","62.3","94.4","3.6","0.731","58.7","149"
"2014-09-19","112","83.7","119.3","6.6","0.893","59.7","142"
"2014-09-20","158","120.4","124.4","4.9","1.18","52.9","191"
"2014-09-21","132","99.6","118.7","14.8","1.727","46","133"
"2014-09-22","124","93.5","107.6","10.9","1.982","58.8","56"
"2014-09-23","67","47.9","22.3","2.4","1.084","40.2","31"
"2014-09-24","50","33.7","40.2","2.2","0.786","44.8","91"
"2014-09-25","143","107","129.6","3.1","1.291","53","81"
"2014-09-26","164","124","102.6","8.9","1.574","62","76"
"2014-09-27","52","30","36.2","3","0.583","41.9","96"
"2014-09-28","84","56.1","106.7","8.4","1.209","67.2","64"
"2014-09-29","78","51.4","76.9","3.5","0.881","38.3","73"
"2014-09-30","49","23.7","51.6","7.4","0.617","39","52"
"2014-10-01","91","66.5","77.3","4.2","0.967","57.3","8"
"2014-10-02","76","54.5","51.1","4","0.952","46.3","55"
"2014-10-03","120","89.2","108.3","4.2","1.589","52.3","25"
"2014-10-04","101","75.1","48.4","2.4","1.138","39","68"
